GEO_CODE,Total_households,Households_with_at_least_one_vars_or_vans,Per_cent_of_households_with_at_least_one_car_or_van
E02000773,2819,2086,0.739978716
E02000774,2208,1498,0.678442029
E02000776,2031,1386,0.682422452
E02000777,2365,1737,0.734460888
E02000779,2753,1381,0.50163458
E02000780,4443,2545,0.572811164
E02000781,4257,3249,0.763213531
E02000782,2851,1438,0.504384427
E02000783,2250,1284,0.570666667
E02000784,4296,3121,0.726489758
E02000785,4304,3231,0.750697026
E02000786,4941,3450,0.698239223
E02000787,4800,3337,0.695208333
E02000788,3666,2774,0.756683033
E02000789,2966,1954,0.65879973
E02000790,2609,2044,0.783441932
E02000791,2986,1951,0.653382451
E02000792,3209,2323,0.723901527
E02000793,3144,2515,0.799936387
E02000794,2660,2139,0.804135338
E02000795,2623,2166,0.825772017
E02000796,3918,3021,0.771056662
E02000797,3273,2296,0.701497097
E02000798,4280,3375,0.788551402
E02000799,2418,1981,0.819272126
E02000800,2159,1577,0.730430755
E02000801,2880,2346,0.814583333
E02000802,2840,2267,0.798239437
E02000803,4086,3174,0.776798825
E02000804,3148,2359,0.749364676
E02000805,4455,3305,0.741863075
E02000806,4174,3378,0.80929564
E02000807,3705,2029,0.547638327
E02000808,4167,1321,0.317014639
E02000809,5936,2397,0.403807278
E02000810,4137,1411,0.341068407
E02000812,4385,1372,0.312884835
E02000813,3746,1337,0.356914042
E02000814,3876,1895,0.488906089
E02000815,2516,776,0.308426073
E02000816,3959,1587,0.400858803
E02000817,2809,986,0.351014596
E02000818,3217,1005,0.31240286
E02000819,3415,1174,0.343777452
E02000820,3873,1119,0.288923315
E02000821,3097,1062,0.342912496
E02000822,3294,970,0.294474803
E02000823,3155,1141,0.361648177
E02000824,3553,1274,0.358570222
E02000825,3545,1371,0.38674189
E02000826,3539,1266,0.357728172
E02000827,4304,1273,0.295771375
E02000828,3180,1138,0.357861635
E02000829,4334,1636,0.377480388
E02000830,3783,1796,0.474755485
E02000831,3918,1808,0.461459929
E02000832,4106,1826,0.444715051
E02000833,2973,1324,0.445341406
E02000834,4198,2262,0.538828013
E02000835,2930,1691,0.577133106
E02000836,3362,2100,0.624628198
E02000837,3300,2474,0.74969697
E02000838,3862,2242,0.580528224
