MSOA,White%,Mixed%,Asian%,Black%,Other%
E02004997,0.9761,0.0125,0.0062,0.0029,0.0023
E02004998,0.9367,0.0145,0.0284,0.018,0.0024
E02004999,0.8958,0.0175,0.0644,0.0175,0.0049
E02005000,0.8816,0.02,0.0805,0.015,0.0028
E02005001,0.9243,0.012,0.049,0.0127,0.0019
E02005002,0.925,0.0166,0.0397,0.0148,0.0038
E02005003,0.903,0.0185,0.053,0.0182,0.0074
E02005004,0.9112,0.0178,0.0442,0.0219,0.0049
E02005005,0.9782,0.0102,0.0082,0.0016,0.0017
E02005006,0.9822,0.0079,0.0053,0.0031,0.0015
E02005007,0.9697,0.012,0.0085,0.0085,0.0012
E02005008,0.9761,0.0095,0.0094,0.0031,0.002
E02005009,0.9845,0.0077,0.0025,0.0012,0.0041
E02005010,0.9631,0.0116,0.0181,0.004,0.0032
E02005011,0.9819,0.0087,0.0064,0.0027,0.0003
E02005012,0.9702,0.0103,0.015,0.0026,0.002
E02005013,0.9753,0.0077,0.0139,0.0017,0.0014
E02005014,0.9784,0.0077,0.01,0.0006,0.0033
E02005015,0.9773,0.0094,0.0072,0.0043,0.0019
E02005016,0.9698,0.0137,0.0117,0.0037,0.001
E02005017,0.9639,0.0164,0.0121,0.0061,0.0015
E02005018,0.969,0.0127,0.0137,0.0043,0.0003
E02005019,0.9581,0.0173,0.0148,0.0065,0.0033
E02005020,0.9468,0.0139,0.0283,0.0087,0.0022
E02005021,0.8165,0.0295,0.0971,0.0408,0.0162
E02005022,0.8689,0.026,0.0646,0.028,0.0125
E02005023,0.8545,0.0235,0.0748,0.0337,0.0135
E02005025,0.8707,0.023,0.0705,0.0244,0.0114
E02005026,0.9545,0.0167,0.0201,0.0054,0.0034
E02005027,0.9703,0.0105,0.0123,0.0031,0.0038
E02006855,0.9091,0.0224,0.0438,0.0204,0.0044
E02006856,0.8727,0.0292,0.0596,0.0222,0.0163
E02005028,0.8433,0.0321,0.0446,0.0736,0.0063
E02005029,0.8517,0.0304,0.0553,0.0518,0.0109
E02005030,0.8029,0.0298,0.1037,0.052,0.0117
E02005031,0.9126,0.0222,0.0284,0.0313,0.0055
E02005032,0.8256,0.0257,0.0844,0.0471,0.0173
E02005033,0.8817,0.0235,0.0452,0.0436,0.006
E02005034,0.8666,0.0184,0.0832,0.0264,0.0055
E02005035,0.8531,0.0145,0.089,0.0335,0.0099
E02005036,0.8682,0.0216,0.0612,0.0406,0.0084
E02005037,0.8899,0.0177,0.0568,0.0297,0.006
E02005038,0.9437,0.0173,0.0266,0.0079,0.0045
E02005039,0.9436,0.0186,0.0243,0.0122,0.0013
E02005040,0.9499,0.0086,0.0349,0.0054,0.0011
E02005041,0.9797,0.0091,0.0081,0.0007,0.0023
E02005042,0.9676,0.0112,0.0147,0.0042,0.0022
E02005043,0.9843,0.0082,0.005,0.0015,0.0011
E02005044,0.9698,0.0098,0.0145,0.0035,0.0025
E02005045,0.9836,0.0068,0.0064,0.0025,0.0008
E02005046,0.974,0.0075,0.01,0.0045,0.004
E02005047,0.9853,0.0075,0.0047,0.0014,0.0011
E02005048,0.9816,0.0093,0.0055,0.0023,0.0012
E02005049,0.9831,0.0056,0.0095,0.0013,0.0004
